iter	RMSE
185	17283.49582
186	17233.44915
187	17196.40516
188	17154.19449
189	17112.67875
190	17066.38641
191	17027.53736
192	16981.00927
193	16964.98388
194	16927.58668
195	16886.72627
196	16871.24079
197	16820.207
198	16780.48405
199	16765.99848
200	16751.05425
201	16735.32604
202	16693.98846
203	16649.56267
204	16635.31609
205	16612.48495
206	16591.72522
207	16551.88187
208	16518.01826
209	16504.01025
210	16459.29124
211	16446.12661
212	16434.80099
213	16423.84758
214	16401.35275
215	16356.92118
216	16346.49279
217	16337.32611
218	16327.6126
219	16302.3641
220	16277.31154
221	16266.81895
222	16244.78466
223	16233.6618
224	16223.98849
225	16193.97093
226	16185.35369
227	16166.7212
228	16138.96671
229	16109.67687
230	16064.12789
231	16037.81101
232	15997.71306
233	15962.90036
234	15953.90681
235	15930.0218
236	15910.28654
237	15876.11455
238	15841.53779
239	15818.82935
240	15790.99161
241	15782.72344
242	15738.22596
243	15712.69159
244	15674.18305
245	15637.01799
246	15597.92278
247	15569.59821
248	15530.12383
249	15492.16144
250	15452.88319
251	15408.01649
252	15376.4818
253	15326.96742
254	15319.75849
255	15280.19543
256	15246.49466
257	15215.00902
258	15184.32392
259	15144.51249
260	15120.6085
261	15101.72425
262	15070.85562
263	15031.00792
264	15023.10715
265	14999.78872
266	14965.46781
267	14924.09883
268	14910.48298
269	14870.20253
270	14836.31711
271	14805.50933
272	14763.56593
273	14729.28684
274	14699.48263
275	14674.62498
276	14644.53414
277	14613.79675
278	14589.18631
279	14570.93237
280	14552.7966
281	14529.10333
282	14488.4228
283	14457.19251
284	14425.05237
285	14397.62166
286	14370.55884
287	14343.08662
288	14307.27111
289	14283.33148
290	14257.37233
291	14242.99371
292	14228.02236
293	14211.46291
294	14177.99273
295	14146.20196
296	14111.15352
297	14073.39418
298	14031.67283
299	13997.30665
300	13974.85032
301	13946.70948
302	13920.49785
303	13911.83339
304	13884.17586
305	13834.85962
306	13810.8205
307	13778.20742
308	13755.29063
309	13731.18549
310	13704.06729
311	13671.33175
312	13635.73724
313	13599.90052
314	13588.52779
315	13556.94667
316	13529.28355
317	13497.58828
318	13471.27155
319	13452.28937
320	13423.33123
321	13411.58029
322	13383.49007
323	13357.70965
324	13335.67276
325	13313.62777
326	13292.92513
327	13270.66067
328	13255.90925
329	13228.2292
330	13224.35821
331	13202.59703
332	13173.99842
333	13137.03392
334	13109.20619
335	13088.92706
336	13068.62621
337	13037.74692
338	13010.05845
339	12979.74689
340	12957.3301
341	12933.50933
342	12919.64623
343	12887.8897
344	12869.95334
345	12841.21817
346	12820.8133
347	12803.08632
348	12800.01144
349	12787.82954
350	12767.16534
351	12731.34786
352	12721.66411
353	12706.40956
354	12686.1085
355	12675.73612
356	12658.04121
357	12631.89036
358	12603.87046
359	12601.30499
360	12570.11348
361	12552.78514
362	12524.45677
363	12504.51953
364	12485.37785
365	12453.58664
366	12436.9068
367	12407.37059
368	12386.84886
369	12363.64078
370	12351.32684
371	12330.59561
372	12322.39604
373	12305.03074
374	12293.53976
375	12267.36496
376	12248.57006
377	12226.99617
378	12201.85912
379	12182.24273
380	12174.68008
381	12150.20691
382	12126.43954
383	12097.85922
384	12080.60063
385	12063.69458
386	12041.21654
387	12023.47009
388	12005.79003
389	11981.98963
390	11964.74818
391	11951.53873
392	11949.21904
393	11946.98279
394	11931.43201
395	11929.22704
396	11917.19809
397	11897.70334
398	11873.0889
399	11841.22922
400	11830.19554
401	11810.47632
402	11793.92868
403	11777.34083
404	11775.16322
405	11756.7454
406	11731.49539
407	11716.13666
408	11699.08058
409	11676.47131
410	11654.5951
411	11635.21079
412	11625.50019
413	11604.45825
414	11581.44528
415	11568.14491
416	11556.59508
417	11553.1605
418	11534.60501
419	11517.29558
420	11502.49372
421	11477.11329
422	11471.72937
423	11469.51594
424	11436.89197
425	11418.8096
426	11403.85357
427	11386.69249
428	11370.14041
429	11349.44696
430	11324.19317
431	11309.48408
432	11299.91931
433	11287.51669
434	11271.41452
435	11238.75384
436	11211.1931
437	11196.31142
438	11194.53033
439	11192.78262
440	11175.15639
441	11152.23782
442	11137.65774
443	11120.68592
444	11106.26452
445	11082.01953
446	11076.95265
447	11059.26698
448	11038.58772
449	11022.2154
450	10994.48172
451	10978.48832
452	10964.49249
453	10950.17525
454	10921.66768
455	10893.9871
456	10891.72806
457	10885.53836
458	10859.95209
459	10842.03706
460	10818.85393
461	10798.57162
462	10779.80796
463	10760.16714
464	10747.86985
465	10732.13157
466	10729.70927
467	10725.98805
468	10703.69821
469	10696.01603
470	10681.99544
471	10659.76864
472	10653.54817
473	10636.50212
474	10625.39853
475	10604.87148
476	10583.37697
477	10573.13758
478	10566.72542
479	10540.19931
480	10534.48661
481	10519.61634
482	10499.79484
483	10483.09297
484	10461.1779
485	10439.1706
486	10423.77172
487	10414.63888
488	10396.50889
489	10381.60873
490	10370.10245
491	10355.678
492	10336.45304
493	10334.86631
494	10330.87167
495	10314.24043
496	10300.83421
497	10289.62082
498	10273.59297
499	10257.98607
500	10249.36688
501	10230.43281
502	10228.38162
503	10216.07632
504	10198.98447
505	10176.56144
506	10163.17628
507	10150.29143
508	10134.74251
509	10124.32601
510	10117.9768
511	10099.31796
512	10085.23012
513	10066.0892
514	10050.87062
515	10028.15715
516	10012.56101
517	9987.685163
518	9985.72397
519	9969.940324
520	9950.259359
521	9926.705649
522	9908.803609
523	9886.242705
524	9884.595545
525	9862.248859
526	9844.395722
527	9823.085445
528	9807.334138
529	9788.91628
530	9770.344381
531	9751.22398
532	9739.632868
533	9721.959858
534	9705.49049
535	9699.410818
536	9682.491026
537	9680.791008
538	9668.066764
539	9648.706162
540	9633.038158
541	9609.953758
542	9593.512577
543	9588.47514
544	9587.014038
545	9567.720996
546	9550.988119
547	9530.361967
548	9517.813833
549	9501.220596
550	9478.136482
551	9471.229072
552	9454.544105
553	9447.005984
554	9430.061416
555	9414.680296
556	9399.053863
557	9385.727378
558	9369.968786
559	9347.354899
560	9333.11873
561	9324.762675
562	9309.417631
563	9303.600654
564	9286.284222
565	9266.561386
566	9250.145848
567	9235.026076
568	9229.563783
569	9216.144695
570	9203.01258
571	9193.400187
572	9181.81061
573	9163.518575
574	9142.450019
575	9125.700046
576	9122.962412
577	9110.681608
578	9091.691135
579	9074.841982
580	9062.556181
581	9043.501982
582	9034.612106
583	9025.936285
584	9013.174504
585	9003.050628
586	8991.067352
587	8972.321914
588	8963.911184
589	8954.141614
590	8941.942598
591	8929.459708
592	8904.552383
593	8900.868608
594	8881.910759
595	8867.888582
596	8855.018669
597	8843.145659
598	8821.330276
599	8797.744104
600	8781.169464
601	8765.649848
602	8753.771204
603	8737.160871
604	8735.650179
605	8726.512311
606	8708.575791
607	8695.25913
608	8675.731993
609	8654.064699
610	8639.117001
611	8625.241181
612	8613.691356
613	8595.427631
614	8581.777394
615	8572.357725
616	8568.742153
617	8548.816554
618	8537.436283
619	8518.677012
620	8499.771544
621	8491.672465
622	8480.167491
623	8459.27263
624	8442.938238
625	8431.145562
626	8417.215095
627	8406.613876
628	8390.475812
629	8386.419617
630	8385.341405
631	8375.332111
632	8361.556007
633	8349.265412
634	8337.854767
635	8318.485783
636	8302.078765
637	8292.355071
638	8279.818042
639	8266.705389
640	8255.618109
641	8241.671224
642	8223.431553
643	8211.067344
644	8203.094901
645	8202.028176
646	8189.681449
647	8178.379643
648	8175.396098
649	8164.342093
650	8157.646142
651	8156.271707
652	8145.414394
653	8133.617757
654	8122.550409
655	8115.49076
656	8103.568757
657	8091.861419
658	8076.347352
659	8071.173735
660	8061.029694
661	8049.968387
662	8035.265112
663	8025.000433
664	8015.364961
665	8003.17697
666	7997.841455
667	7996.953016
668	7981.759419
669	7968.151164
670	7967.015478
671	7952.758048
672	7938.414174
673	7937.225354
674	7934.54479
675	7933.696451
676	7920.649694
677	7908.170444
678	7906.822795
679	7898.947218
680	7886.519493
681	7878.515055
682	7869.083755
683	7859.351488
684	7858.642124
685	7848.165421
686	7838.894612
687	7837.891449
688	7832.231917
689	7820.222287
690	7809.019672
691	7792.665005
692	7784.538271
693	7770.558424
694	7762.093447
695	7753.852455
696	7737.068534
697	7723.356765
698	7709.033937
699	7700.31449
700	7689.411679
701	7684.34062
702	7666.60153
703	7653.445901
704	7645.694279
705	7636.245831
706	7623.844534
707	7617.335237
708	7612.917889
709	7612.2761
710	7602.069276
711	7592.736055
712	7582.183622
713	7575.859748
714	7568.553484
715	7556.809214
716	7547.333103
717	7537.473256
718	7521.798604
719	7520.296132
720	7509.085287
721	7493.943654
722	7485.127226
723	7480.411688
724	7471.407618
725	7459.866652
726	7449.602027
727	7440.084007
728	7425.991949
729	7412.892199
730	7400.32035
731	7395.326926
732	7375.52896
733	7368.57354
734	7362.638561
735	7352.699674
736	7352.01864
737	7342.787624
738	7334.185978
739	7325.765273
740	7319.515311
741	7309.081977
742	7295.70007
743	7285.870103
744	7281.309206
745	7271.106049
746	7265.619407
747	7258.179176
748	7248.383183
749	7247.448199
750	7243.199086
751	7232.399778
752	7226.279558
753	7211.203004
754	7204.864888
755	7199.006973
756	7189.59394
757	7182.736698
758	7171.895194
759	7160.793049
760	7152.114978
761	7140.787309
762	7132.224286
763	7122.042993
764	7121.10677
765	7113.580973
766	7103.482832
767	7093.916441
768	7082.40865
769	7074.615427
770	7071.37899
771	7060.315937
772	7054.897538
773	7044.029395
774	7037.86551
775	7027.480776
776	7023.74332
777	7022.479467
778	7013.255372
779	7005.541199
780	7000.583131
781	6986.920574
782	6974.413387
783	6973.624246
784	6963.841449
785	6959.826687
786	6955.342623
787	6944.201593
788	6930.309571
789	6926.586225
790	6922.455063
791	6915.124411
792	6906.372886
793	6897.535429
794	6888.500909
795	6887.570262
796	6877.551414
797	6864.821868
798	6852.706974
799	6847.426201
800	6846.638866
801	6839.95866
802	6830.040463
803	6815.639233
804	6810.549406
805	6801.24952
806	6792.142845
807	6780.335464
808	6770.131621
809	6769.325011
810	6760.755329
811	6750.546541
812	6739.195949
813	6730.579183
814	6720.366597
815	6700.819317
816	6692.406142
817	6681.767335
818	6674.476359
819	6659.845501
820	6656.616409
821	6647.946314
822	6641.839204
823	6628.047096
824	6623.473595
825	6619.529965
826	6612.772087
827	6607.171976
828	6593.652976
829	6585.199651
830	6579.427742
831	6573.684905
832	6563.236268
833	6562.358565
834	6548.798558
835	6540.911144
836	6533.130743
837	6530.666221
838	6525.463642
839	6519.114239
840	6515.161553
841	6514.298372
842	6505.534124
843	6500.728715
844	6488.776417
845	6478.907931
846	6478.275493
847	6477.387477
848	6472.389145
849	6457.196338
850	6449.774429
851	6445.835502
852	6442.694841
853	6429.304472
854	6422.072733
855	6413.567216
856	6404.845129
857	6392.438859
858	6380.340759
859	6370.934894
860	6362.167069
861	6356.183293
862	6355.068554
863	6345.885794
864	6336.977564
865	6327.091425
866	6322.488988
867	6319.459953
868	6311.198503
869	6300.405105
870	6299.601069
871	6297.681652
872	6296.797116
873	6285.939365
874	6285.079492
875	6277.907615
876	6274.283715
877	6267.812324
878	6262.205277
879	6261.63242
880	6254.45156
881	6247.413913
882	6234.430242
883	6224.669119
884	6214.085992
885	6211.225954
886	6208.475912
887	6202.934559
888	6195.208569
889	6186.18194
890	6185.479578
891	6179.979727
892	6177.396701
893	6168.298249
894	6159.324847
895	6156.194884
896	6145.564695
897	6136.455138
898	6131.748127
899	6125.172799
900	6115.587215
901	6110.630365
902	6104.646688
903	6104.127354
904	6097.779992
905	6086.624755
906	6075.988388
907	6067.364103
908	6060.484232
909	6051.043154
910	6040.602135
911	6039.531813
912	6022.698968
913	6016.802616
914	6013.019917
915	6002.396248
916	5992.462017
917	5987.709467
918	5983.683942
919	5978.580281
920	5977.991453
921	5969.729223
922	5965.778353
923	5963.134587
924	5951.013372
925	5944.447078
926	5938.451465
927	5931.639942
928	5922.912555
929	5920.524579
930	5919.897553
931	5913.922857
932	5911.839583
933	5906.092264
934	5899.104171
935	5892.415638
936	5878.867947
937	5876.498958
938	5866.326972
939	5857.904979
940	5846.439168
941	5835.732698
942	5829.116512
943	5819.675443
944	5814.062448
945	5812.642808
946	5804.809897
947	5795.6986
948	5789.855383
949	5781.368453
950	5780.540938
951	5773.614496
952	5769.676438
953	5763.671721
954	5755.541453
955	5747.845864
956	5743.70047
957	5733.93632
958	5724.977941
959	5724.324098
960	5715.489894
961	5711.617398
962	5702.166519
963	5695.458709
964	5689.414812
965	5686.200191
966	5681.221596
967	5675.831567
968	5667.837691
969	5662.316495
970	5660.436038
971	5654.054091
972	5651.614191
973	5643.326977
974	5637.043004
975	5635.676746
976	5631.24875
977	5626.602084
978	5613.928859
979	5609.031239
980	5606.179659
981	5599.345487
982	5589.001593
983	5588.539656
984	5580.013476
985	5578.472333
986	5576.852489
987	5568.784676
988	5566.093659
989	5561.18858
990	5552.779684
991	5549.285733
992	5544.807094
993	5540.686019
994	5536.934624
995	5531.351831
996	5525.708733
997	5515.42905
998	5508.649809
999	5506.934808
